Date,Open,High,Low,Settle,Volume,Open Interest
2011-06-10,1287.75,1288.75,1267.0,,1453530.0,2015364.0
2011-06-09,1277.75,1294.0,1275.25,,1725026.0,2296072.0
2011-06-08,1285.0,1287.75,1276.25,,2695851.0,2671828.0
2011-06-07,1285.25,1295.5,1282.5,,2069553.0,2803593.0
2011-06-06,1298.75,1299.0,1283.25,,2185300.0,2889057.0
2011-06-03,1312.25,1313.5,1294.5,,2677734.0,2930588.0
2011-06-02,1313.25,1317.75,1304.25,,2433178.0,2815208.0
2011-06-01,1344.75,1347.75,1311.25,,2681845.0,2835132.0
2011-05-31,1331.0,1345.75,1330.75,,1927228.0,2815719.0
2011-05-30,1329.75,1333.0,1328.25,,1393298.0,2775088.0
2011-05-27,1326.5,1333.75,1324.5,,1393298.0,2760252.0
2011-05-26,1316.5,1327.5,1312.5,,2286732.0,2762061.0
2011-05-25,1313.0,1324.5,1302.25,,2100699.0,2780614.0
2011-05-24,1314.75,1322.5,1311.75,,1860601.0,2761199.0
2011-05-23,1326.0,1327.0,1310.75,,2054242.0,2752316.0
2011-05-20,1341.5,1344.0,1327.0,,2247208.0,2719462.0
2011-05-19,1338.25,1345.5,1334.5,,1825276.0,2706744.0
2011-05-18,1326.25,1340.5,1324.5,,1612220.0,2695103.0
2011-05-17,1325.25,1332.0,1316.0,,2292146.0,2688008.0
2011-05-16,1332.0,1341.25,1324.75,,2177046.0,2666484.0
2011-05-13,1347.25,1352.5,1330.5,,2235430.0,2650027.0
2011-05-12,1339.25,1348.75,1328.75,,2254909.0,2647161.0
2011-05-11,1353.75,1358.25,1333.0,,2190906.0,2664963.0
2011-05-10,1342.5,1356.5,1339.0,,1571216.0,2680756.0
2011-05-09,1337.25,1346.25,1334.5,,1666599.0,2677123.0
2011-05-06,1334.25,1351.75,1331.75,,2673077.0,2751590.0
2011-05-05,1343.25,1348.75,1325.25,,2915006.0,2758798.0
2011-05-04,1351.75,1355.0,1337.5,,2382666.0,2790443.0
2011-05-03,1357.75,1358.5,1345.75,,1674060.0,2794195.0
